"","cam","carcass","study_area","utm_z","utm_e","utm_n","long","lat","first_photo","last_photo","season","habitat","elevation","building_density","road_distance","road_class","trail_distance","Folder","total.time","nobs","building_distance"
"65","NEC103F-522","WTD_Adult","Northeast","11U",5361055,472437,-117.372402513768,48.4020502756614,"2018-06-14","2018-08-17","Summer","DenseConifer",805.95,2,428.098172965542,"Unimproved Road",2045.37901817682,"Reconyx",0,0,953.659767443232
"66","NEC103F-626","WTD_Fawn","Northeast","11U",5364106,473534,-117.357773831941,48.4295451785942,"2018-10-08","2018-12-02","Fall","DenseConifer",814.38,10,118.084251830909,"Unimproved Road",4647.06812465275,"Moultrie",0,0,677.361254513816
"67","NEC103F-626","WTD_Fawn","Northeast","11U",5364106,473534,-117.357773831941,48.4295451785942,"2018-10-08","2018-12-02","Fall","DenseConifer",814.38,10,118.084251830909,"Unimproved Road",4647.06812465275,"Reconyx",0,0,677.361254513816
"68","NEC103F-634","WTD_Fawn","Northeast","11U",5360015,472617,-117.369902760328,48.3927018915024,"2018-10-11","2018-12-02","Fall","Riparian",797.58,1,43.7459571563278,"Unimproved Road",1855.13862807128,"Reconyx",0,0,299.687442669134
"69","NEC108M-2031","DeerUnkSpp_Fawn","Northeast","11U",5329352,414975,-118.142291233724,48.1117509061968,"2019-07-24","2019-09-13","Summer","Other",795.68,0,77.1876683126694,"Unimproved Road",41528.7253998421,"Moultrie",0,0,1346.62906130398
"70","NEC108M-2031","DeerUnkSpp_Fawn","Northeast","11U",5329352,414975,-118.142291233724,48.1117509061968,"2019-07-24","2019-09-13","Summer","Other",795.68,0,77.1876683126694,"Unimproved Road",41528.7253998421,"Reconyx",0,0,1346.62906130398
"71","NEC141M-351","Moose_AgeUnk","Northeast","11U",5362558,460317,-117.536291146554,48.4149249918481,"2019-03-19","2019-04-01","Winter","OpenConifer",1269.57,0,65.4693076649774,"Light-Duty Road",7439.78972241241,"Moultrie",0,0,3466.88446025084
"72","NEC141M-351","Moose_AgeUnk","Northeast","11U",5362558,460317,-117.536291146554,48.4149249918481,"2019-03-19","2019-04-01","Winter","OpenConifer",1269.57,0,65.4693076649774,"Light-Duty Road",7439.78972241241,"Reconyx",0,0,3466.88446025084
"73","NEC144M-1321","Other","Northeast","11U",5328632,433235,-117.896895070365,48.1074502939358,"2019-08-15","2019-10-13","Summer","DenseConifer",965.62,0,10.2354744746512,"Unimproved Road",29507.2506945883,"Reconyx",0,0,1315.42747446017
"74","NEC144M-1408","WTD_Fawn","Northeast","11U",5321875,424252,-118.016352719809,48.0456616353002,"2019-08-30","2019-11-14","Summer","Riparian",888.87,0,46.4689968129056,"Unimproved Road",29832.3134640222,"Moultrie",0,0,2277.37300887207
"75","NEC144M-1408","WTD_Fawn","Northeast","11U",5321875,424252,-118.016352719809,48.0456616353002,"2019-08-30","2019-11-14","Summer","Riparian",888.87,0,46.4689968129056,"Unimproved Road",29832.3134640222,"Reconyx",0,0,2277.37300887207
"76","NEC144M-1507","Moose_Calf","Northeast","11U",5323809,422465,-118.040676376448,48.0628445711489,"2019-09-15","2019-11-14","Summer","Riparian",1063.74,0,91.6682160357662,"Unimproved Road",32458.192378174,"Moultrie",0,0,4333.89432421175
