"","X","Cluster","duration.hr","building_density","building_distance","road_density","road_distance","trail_density","trail_distance","forest_density","season"
"95",94,"MVC223F-369",79,0,9.58045586477008,0,3.34516143291798,2,0.132958277148961,0.168962344527245,"summer"
"96",95,"MVC223F-390",43,0,8.40414465681451,0,3.08275989952853,2,0.126840630667526,0.0505050495266914,"summer"
"97",96,"MVC223F-484",91,0,6.27459547652759,0,4.4999930807536,1,0.224353420611014,0.123966939747333,"summer"
"98",97,"MVC224M-1027",43,1,0.099771310084808,3,0.08117448003554,0,2.59024882893379,0.0110192839056253,"summer"
"99",98,"MVC224M-1045",155,0,8.9702948668197,0,1.10011154980556,0,1.35569275715799,0.0477502308785915,"summer"
"100",99,"MVC225F-1044",67,0,6.35266035556133,5,0.0770487449438863,1,0.852344274583676,0.114784203469753,"summer"
"101",100,"MVC225F-1175",60,0,6.87222554338786,8,0.37536649084205,1,0.734727421278525,0.00367309455759823,"summer"
"102",101,"MVC225F-1782",96,8,0.783723347806614,71,0.0936251314223384,0,3.44641369283856,0.00642791530117393,"winter"
"103",102,"MVC225F-1874",60,17,0.685328959762209,71,0.227463802262104,0,3.48002099639232,0.00642791530117393,"winter"
"104",103,"MVC225F-787",167,0,8.68232640117836,6,0.379643260317072,2,0.414397702505668,0.151515156030655,"summer"
"105",104,"MVC225F-954",44,0,8.4790876293202,10,0.0248676248116255,1,0.513978412862629,0.0615243352949619,"summer"
"106",105,"MVC226F-1337",80,18,0.441444805051795,35,0.209500533492032,0,4.07800933130982,0.616161644458771,"winter"
"107",106,"MVC226F-1393",71,72,0.131858152242686,56,0.160322125949758,0,3.99076650680631,0.0330578498542309,"winter"
"108",107,"MVC226F-443",31,0,2.50041981526063,5,0.19080751097332,0,2.10413744396447,0.0413223132491112,"winter"
"109",108,"MVC227F-2002",103,0,5.9884122444128,0,1.70039680331184,0,1.85418893089347,0.140495866537094,"summer"
"110",109,"MVC227F-2184",83,0,7.03539805782452,0,1.14942413877174,0,1.02873218393042,0.32139578461647,"summer"
"111",110,"MVC227F-2357",31,0,6.43863239302763,0,1.99696765946394,0,1.3237847857349,0.168962344527245,"summer"
"112",111,"MVC227F-3459",103,0,2.35231047176356,45,0.11373294730425,0,3.97357644851154,0.101010099053383,"winter"
"113",112,"MVC227F-3529",115,0,2.75497071403402,14,0.124502432158995,0,3.86184224437671,0.496786028146744,"winter"
"114",113,"MVC228F-318",20,0,1.92989512060913,6,0.304786924141855,0,2.28333368160277,0.498622596263885,"winter"
"115",114,"MVC228F-325",63,0,1.51999012616644,43,0.223376194867444,0,4.17609290371274,0.0468319542706013,"winter"
"116",115,"MVC229M-224",8,0,1.16593638533806,26,0.00258863506316285,0,2.55322698029655,0.122130393981934,"winter"
"117",116,"MVC229M-232",72,0,1.8494315675432,35,0.168134599368528,0,3.31573082408297,0.0156106520444155,"winter"
"118",117,"MVC230F-1298",64,22,0.455356063866124,8,0.450836930123412,0,4.65518176423799,0,"winter"
"119",118,"MVC230F-1334",148,0,1.42711617144212,6,0.584777667183467,0,6.08617737748984,0.581267237663269,"winter"
"120",119,"MVC230F-1381",48,23,0.111148146949025,4,0.145286967301458,0,4.23345235430729,0,"winter"
"121",120,"NEC101M-1737",56,13,0.41035638287733,18,0.441773719697561,0,5.54897722337204,0.847566604614258,"winter"
"122",121,"NEC101M-1141",108,7,0.717720924661618,8,0.842932119625429,0,9.13352467326236,0.746556460857391,"summer"
"123",122,"NEC101M-1318",39,0,1.0400419113721,25,0.0952774323073861,0,9.38147660710992,0.895316779613495,"summer"
"124",123,"NEC101M-1367",44,16,0.762626982872325,23,0.154028381650955,0,7.6170337615072,0.688705205917358,"summer"
"125",124,"NEC101M-1447",28,3,0.761624231169178,41,0.0638814831073958,0,10.4276128387219,0.891643702983856,"summer"
"126",125,"NEC101M-1574",148,0,1.00998138466221,24,0.0494567609340504,0,11.3179623202426,0.780532598495483,"summer"
"127",126,"NEC101M-1618",32,40,0.264024041643109,14,0.351476374663351,0,9.39837568687731,0.681359052658081,"summer"
"128",127,"NEC101M-1701",107,31,0.106451649726242,7,0.100394151127823,0,7.9778835011766,0.550045907497406,"summer"
"129",128,"NEC101M-1751",75,15,0.196819523724656,2,0.0559800090449997,0,4.64522915314211,0.922865033149719,"summer"
"130",129,"NEC101M-1958",112,30,0.224945465893061,15,0.0447357359859489,0,10.4668815794252,0.769513309001923,"winter"
"131",129,"NEC101M-1958",112,30,0.224945465893061,15,0.0447357359859489,0,10.4668815794252,0.769513309001923,"summer"
"132",130,"NEC101M-2405",87,147,0.426055291425442,16,0.185761369222064,0,11.2237398148291,0.534435272216797,"winter"
"133",131,"NEC101M-2449",80,9,0.753246998598917,29,0.144162707243131,0,6.29804197522988,0.976124882698059,"winter"
"134",132,"NEC101M-2506",212,22,0.131590505397236,20,0.168450288231634,0,5.25797540339616,0.608815431594849,"winter"
"135",133,"NEC101M-2576",72,55,0.311127179107822,8,0.266102461859137,1,0.574907299529429,0.753902673721313,"winter"
"136",134,"NEC101M-2601",20,556,0.128729958999652,57,0.181016521019241,2,0.770440154818317,0.460973381996155,"winter"
"137",135,"NEC101M-2648",24,26,0.46242236920247,12,0.154482756570625,0,1.69583003293709,0.789715349674225,"winter"
"138",136,"NEC101M-701",72,0,2.17829879894774,7,0.361484178308301,0,5.7313527531362,0.929292917251587,"winter"
"139",137,"NEC101M-736",223,0,1.68382108851296,11,0.250116395049591,1,0.539307046745129,0.962350785732269,"winter"
"140",138,"NEC101M-801",115,0,1.4069449946397,8,0.198999735976427,3,0.044068594074622,0.990817248821259,"summer"
